ADMIN , Headadmin Logged in , 30-3-2025 05:31 PM 
ADMIN , Headadmin Logged in , 30-3-2025 05:34 PM 
ADMIN , Added Institution Admin INADM3 , 30-3-2025 05:34 PM , Remark : Added by Default Admin
INADM3 , Institution Admin Logged in , 30-3-2025 05:34 PM 
INADM1 , Institution Admin Logged in , 30-3-2025 05:34 PM 
INADM1 , Approved Rollno 2310009 , 30-3-2025 05:34 PM 
INADM1 , Approved Rollno 2302094 , 30-3-2025 05:34 PM 
INADM2 , Institution Admin Logged in , 30-3-2025 07:14 PM 
ADMIN , Headadmin Logged in , 4-4-2025 08:45 PM 
ADMIN , Mailed to Alumni(2302094) , 4-4-2025 08:45 PM ,Message : You are commanded to visit the Alumni Section immediately ! 
ADMIN , Edited Alumni Data (undefined) , 4-4-2025 08:45 PM 
INADM1 , Institution Admin Logged in , 4-4-2025 11:01 PM 
INADM1 , Approved Rollno 2302003 , 4-4-2025 11:01 PM 
ADMIN , Headadmin Logged in , 4-4-2025 11:01 PM 
ADMIN , Replied to Alumni Complaint(67b4de5de15a02ea1484023a) , 4-4-2025 11:01 PM , Response : What Status:Pending
ADMIN , Replied to Alumni Complaint(67b4de5de15a02ea1484023a) , 4-4-2025 11:01 PM , Response : What Status:Resolved
INADM1 , Institution Admin Logged in , 8-4-2025 09:59 PM 
INADM1 , Approved Rollno 2302061 , 8-4-2025 09:59 PM 
ADMIN , Headadmin Logged in , 8-4-2025 09:59 PM 
ADMIN , Replied to Alumni Complaint(67f551aa641c168f4be1b31d) , 8-4-2025 09:59 PM , Response : We are working on it... Status:Pending
ADMIN , Replied to Alumni Complaint(67f551aa641c168f4be1b31d) , 8-4-2025 09:59 PM , Response : We are working on it... Status:Resolved
ADMIN , Headadmin Logged in , 8-4-2025 10:17 PM 
ADMIN , Edited Alumni Data (undefined) , 8-4-2025 10:17 PM 
ADMIN , Headadmin Logged in , 9-4-2025 01:17 PM 
ADMIN , Freed Up Space , 9-4-2025 01:17 PM  
ADMIN , Headadmin Logged in , 9-4-2025 01:27 PM 
ADMIN , Headadmin Logged in , 9-4-2025 01:28 PM 
ADMIN , Freed Up Space , 9-4-2025 01:28 PM  
ADMIN , Headadmin Logged in , 23-4-2025 05:48 PM 
ADMIN , Headadmin Logged in , 25-4-2025 10:48 PM 
ADMIN , Headadmin Logged in , 26-4-2025 11:48 AM 
INADM1 , Institution Admin Logged in , 26-4-2025 11:48 AM 
ADMIN , Headadmin Logged in , 26-4-2025 11:56 AM 
INADM1 , Institution Admin Logged in , 26-4-2025 12:00 AM 
ADMIN , Headadmin Logged in , 26-4-2025 12:00 AM 
ADMIN , Headadmin Logged in , 27-4-2025 04:18 PM 
